餐廳名稱,地區,地址,Address,座標,電話,營業時間
印渡風情Out of India,臺北市Taipei City ,臺北市大安區浦城街13巷26號,"No.26, Ln. 13, Pucheng St., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)","25.024399, 121.527934",(02)23633054,11:30~14:30、17:30~22:00
Hot Curry【熱。咖哩】,臺北市Taipei City ,臺北市內湖區瑞光路513號,"No.513, Ruiguang Rd., Neihu Dist., Taipei City 114, Taiwan (R.O.C.)","25.078968, 121.569315",978211074,11:00 ~20:00
印渡風情Out of India,臺北市Taipei City ,臺北市松山區慶城街16巷6號,"No. 6, Ln. 16, Qingcheng St., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",待跑座標,(02)25475885,11:30~14:00、17:30~21:30?
翡宴印度餐廳Taipei Fusion Asia Indian Restaurant and Bar,臺北市Taipei City ,臺北市士林區天母東路50巷 22之1號,"No. 22-1, Ln. 50, Tianmu E. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",待跑座標,(02)28763838,11:00~14:30、17:00~21:30
馬友友印度廚房 IIIMayur Indian Kitchen III,臺北市Taipei City ,臺北市大安區新生北路一段38號,"No.38, Sec. 1, Xinsheng N. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)","25.046245, 121.531535",(02)25431817,平日:11:30~15:00、17:00~22:00假日:11:30~22:00週一、週二公休
馬友友印度廚房 IIClassic Mayur Indian Kitchen II,臺北市Taipei City ,臺北市松山區民生東路三段103號,"No.103, Sec. 3, Minsheng E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.057939, 121.544662",(02)27155277,平日:11:30~15:00、17:00~22:00假日:11:30~22:00
馬友友印度廚房 IMayur Indian Kitchen I,臺北市Taipei City ,臺北市松山區基隆路一段350-5號,"No.350-5, Sec. 1, Keelung Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.036937, 121.561647",(02)27200011,11:30~15:00、17:00~21:30
巴雷巴雷印度餐廳Balle Balle Indian Restaurant & Bar,臺北市Taipei City ,臺北市松山區光復北路12號,"No.12, Guangfu N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.048743, 121.557650",(02)25707265,"11:30~14:30, 17:30~21:45週一公休"
TAJ 印度餐廳TAJ Indian Restaurant,臺北市Taipei City ,臺北市大安區市民大道四段48巷1號,"No.1, Ln. 48, Sec. 4, Civic Blvd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)","25.044734, 121.545860",(02)87730175,12:00~14:30、17:30~22:00
香料屋印度料理The Spice Shop Indian Cuisine,臺北市Taipei City ,臺北市士林區天母東路50巷10弄6號,"No.6, Aly. 10, Ln. 50, Tianmu E. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)","25.117551, 121.532978",(02)28737775,平日: 11:30~14:00、17:30~21:30假日: 11:30~15:00、17:30~22:00
番紅花印度美饌Saffron Fine Indian Cuisine,臺北市Taipei City ,臺北市士林區天母東路38-6號,"No.38-6, Tianmu E. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)","25.117557, 121.532800",(02)28714842,11:30~14:00、?17:30~21:30
阿里巴巴的廚房Ali Baba's Indian Kitchen,臺北市Taipei City ,臺北市中山區南京東路二段56號2樓,"2F., No.56, Sec. 2, Nanjing E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)","25.051791, 121.529768",(02)25677163,11:30~15:00、17:30~22:00
加爾各答印度料理,臺北市Taipei City ,臺北市萬華區西寧南路70號地下1樓,"B1F., No.70, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)","25.043478, 121.505893",(02)23893878,11:30~14:00、?17:00~21:30
饗印印度料理Khana Khazana,臺北市Taipei City ,臺北市信義區基隆路一段366號2樓,"2F., No.366, Sec. 1, Keelung Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.035389, 121.560721",(02)87869366,11:00~14:30、17:00~22:30
印度皇宮(台北美麗華)India Palace,臺北市Taipei City ,臺北市敬業三路20號地下1樓,"B1F., No.20, Jingye 3rd Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)","25.083574, 121.557098",(02)21753210,11:30~21:30
印度皇宮(台北101)India Palace,臺北市Taipei City ,臺北市信義區信義路5段7號地下1樓,"B1., No.7, Sec. 5, Xinyi Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",待跑座標,(02)81018089,11:00~21:30
坦都印度餐廳Tandoor Indian Restaurant,臺北市Taipei City ,臺北市中山區合江街73巷10號,"No.10, Ln. 73, Hejiang St., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)","25.058655, 121.540070",(02)25099853,11:30~14:00、17:30~21:30週一公休
香料館Masala House,臺北市Taipei City ,臺北市中正區羅斯福路三段269巷6號," No.6, Ln. 269, Sec. 3, Roosevelt Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.019218, 121.530510",(02)2366211,11:30~14:00、17:30~21:00週一公休
塔吉摩洛哥料理Tajin Moroccan Cusine,臺北市Taipei City ,臺北市大安區基隆路二段144巷3號,"No.3, Ln. 144, Sec. 2, Keelung Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)","25.028305, 121.556351",(02)27327296,11:30~14:30、18:00~21:00週一公休
昆明園Kuming Islamic Restaurant,臺北市Taipei City ,臺北市松山區復興北路81巷26號,"No.26, Ln. 81, Fuxing N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.051095, 121.545232",(02)27516776,平日:11:30~14:00、17:30~21:00假日:17:30~21:00
印度皇宮(桃園南崁)India Palace,桃園市Taoyuan City,桃園縣蘆竹鄉中正路1號5樓,"5F., No.1, Zhongzheng Rd., Luzhu Dist., Taoyuan City 338, Taiwan (R.O.C.)","25.040372, 121.295384",(03)3527342,11:00~14:30 、17:00~21:00
香料屋印度料理Indian Cuisine,新竹市Hsinchu City,新竹市東區新光路19號,"No.19, Xinguang Rd., East Dist., Hsinchu City 300, Taiwan (R.O.C.)","24.801419, 120.988127",(03)5710687,週二~週日11:30~13:30、17:30~20:30、週一公休
魔力屋印度料理BollyWood Indian Restaurant,臺中市Taichung City,臺中市西區健行路1026號," No.1026, Jianxing Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)","24.156939, 120.663355",(04)23192828,11:00~14:00、16:30~22:00
小印度清真館A Little India,臺中市Taichung City,臺中市西區博館三街60號,"No.60, Boguan 3rd St., West Dist., Taichung City 403, Taiwan (R.O.C.)","24.156382, 120.663749",(04)23261425,?11:00~14:00、17:00~22:00
員林皇品印度咖哩專賣店,彰化市Changhua County,彰化縣員林市大同路一段470號,"No.470, Sec. 1, Datong Rd., Yuanlin City, Changhua County 510, Taiwan (R.O.C.)","23.965910, 120.579148",(04)8349692,11:00~14:30、17:00~21:00週三公休
瑪哈印度餐廳Maharaja Indian Restaurant,臺南市Tainan City,臺南市北區東豐路247號,"No.247, Dongfeng Rd., North Dist., Tainan City 704, Taiwan (R.O.C.)","23.003180, 120.221552",(06)2008855,11:30~14:00、17:30~21:30
瑪哈印度餐廳Maharaja Indian Restaurant,臺南市Tainan City,臺南市南區夏林路67號,"No.67, Xialin Rd., South Dist., Tainan City 702, Taiwan (R.O.C.)","22.982984, 120.195109",(06)2232277,11:30~14:00、17:30~21:30
瑪哈印度餐廳Maharaja Indian Restaurant,高雄市Kaohsiung City,高雄市左營區明誠二路392號,"No.392, Mingcheng 2nd Rd., Zuoying Dist., Kaohsiung City 813, Taiwan (R.O.C.)","22.661219, 120.306268",(07)5581123,11:30~14:00、17:30~21:30
拉合爾異國美食Lahore Restaurant,高雄市Kaohsiung City,高雄市苓雅區林泉街86號,"No.86, Linquan St., Lingya Dist., Kaohsiung City 802, Taiwan (R.O.C.)","22.622748, 120.317049",(07)7266803,11:00~14:00、16:30~21:00週一公休
阿德印度料理The Spice Shop Kaohsiung,高雄市Kaohsiung City,高雄市左營區明誠二路508號,"No.508, Mingcheng 2nd Rd., Zuoying Dist., Kaohsiung City 813, Taiwan (R.O.C.)","22.661272, 120.304795",(07)5585709,11:30~14:00、17:00~21:30
瑪丁娜印度小館Medina Indian Restaurant,花蓮市Hualien County,花蓮市和平路482號,"No.482, Heping Rd., Hualien City, Hualien County 970, Taiwan (R.O.C.)","23.976774, 121.601497",(03)8334921,11:00~14:00、17:00~21:00
香料國境Indian Restraurant,宜蘭縣Yilan County,宜蘭縣羅東鎮四育路83號,"No.83, Siyu Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)","24.678303, 121.760149",(03)9610086,週五~週日:14:00~18:00
帕比絲手作印度廚房Bhabhi's India Restaurant,新竹市Hsinchu City,新竹市金山23街69號,"No.69, Jinshan 23rd St., East Dist., Hsinchu City 300, Taiwan (R.O.C.)",待跑座標,(03)5678591,11:30-14:00、17:30~21:00週一公休
香料屋印度咖哩Indian Cuisine,臺中市Taichung City,臺中市西區健行路1066號,"No.1066, Jianxing Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",待跑座標,(04)23272767,11:30~14:00、17:00~21:30週一公休
印度皇宮(華泰名店城)India Palace,桃園市Taoyuan City,桃園市中壢區春德路189號2樓,"2F., No. 189, Chunde Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",待跑座標,(03)2870823,10:00~21:00
印度皇宮(台南南紡購物中心)India Palace,臺南市Tainan City,臺南市東區中華東路一段366號2樓,"2F., No. 366, Sec. 1, Zhonghua E. Rd., East Dist., Tainan City 701, Taiwan (R.O.C.)",待跑座標,(06)3006828,11:00~21:00
香料國境Indian Restraurant,宜蘭縣Yilan County,宜蘭縣羅東鎮四育路83號,"No.83, Siyu Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)","24.678303, 121.760149",(03)9610086,週二~週五11:00-15:00 週四~週六17:00-20: 週一週日公休
莎堤亞印度料理台北店Saathiya Indian Cuisine Taipei,臺北市Taipei City ,臺北市中正區信義路二段195號2樓,"2F., No.195, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",待跑座標,(02)23432513,11:30-14:30、17:30-21:30週一公休
莎堤亞印度料理桃園店Saathiya Indian Cuisine Taoyuan ,桃園市Taoyuan City,桃園市桃園區中正路20號9樓,"9F., No. 20, Zhongzheng Rd., Taoyuan Dist., Taoyuan City 330, Taiwan (R.O.C.)",待跑座標,(03)3320498,11:00-22:00
帕比絲手作印度廚房Bhabhi's India Restaurant,新竹市Hsinchu City,新竹市金山23街69號,"No.69, Jinshan 23rd St., East Dist., Hsinchu City 300, Taiwan (R.O.C.)",待跑座標,(03)5678591,11:30-14:00、17:30-21:00週一公休
香料屋印度咖哩Indian Cuisine,臺中市Taichung City,臺中市西區健行路1066號,"No.1066, Jianxing Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",待跑座標,(04)23272767,11:30-14:00、17:00-21:30週一公休
瑪哈印度餐廳Maharaja Indian Restaurant,高雄市Kaohsiung City,高雄市前金區中山二路537號,"No. 537, Zhongshan 2nd Rd., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",待跑座標,(07)2153838,11:30-14:00、17:30-21:30週一公休
印度皇宮(華泰名店城)India Palace,桃園市Taoyuan City,桃園市中壢區春德路189號2樓,"2F., No. 189, Chunde Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",待跑座標,(03)2870823,10:00-21:00
印度皇宮(大魯閣草衙道)India Palace,高雄市Kaohsiung City,高雄市前鎮區中安路1-1號,"No. 1-1, Zhong'an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",待跑座標,(07)793-2211,11:00-21:00
印度皇宮(台南南紡購物中心)India Palace,臺南市Tainan City,臺南市東區中華東路一段366號2樓,"2F., No. 366, Sec. 1, Zhonghua E. Rd., East Dist., Tainan City 701, Taiwan (R.O.C.)",待跑座標,(06)3006828,11:00-21:00
印度皇宮(夢時代購物中心)India Palace,高雄市Kaohsiung City,高雄市前鎮區中華五路789號 藍鯨館7樓,"7F., No. 789, Zhonghua 5th Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",待跑座標,(07)8418808,11:00-22:00
